date,stock_ret
2021-03-18,3.002473755428549
2021-03-19,3.0310551492954425
2021-03-22,3.1454178314550343
2021-03-23,3.0559348458760573
2021-03-24,3.021549833594749
2021-03-25,2.9509143640599307
2021-03-26,2.995999208689448
2021-03-29,3.0137296230612747
2021-03-30,3.0591271073254656
2021-03-31,3.0742384638260165
2021-04-01,3.0735309944113585
2021-04-02,3.0355119465676212
2021-04-06,3.044267221238746
2021-04-07,3.0842482075812945
2021-04-08,3.076754000811543
2021-04-09,3.0556528644152325
2021-04-12,3.018593910040408
2021-04-13,3.01251798591528
2021-04-14,3.039191726000886
2021-04-15,3.033441749747098
2021-04-16,3.0373428458725664
2021-04-19,3.0973491695505877
2021-04-20,3.0943441377095087
2021-04-21,3.1226090298638858
2021-04-22,3.1615781356452946
2021-04-23,3.175123784843413
2021-04-26,3.218276747211396
2021-04-27,3.2513349701036804
2021-04-28,3.3461334814918704
2021-04-29,3.387202160660737
2021-04-30,3.451346466785323
2021-05-06,3.4597251471279256
2021-05-07,3.483787418630599
2021-05-10,3.6438197409895507
2021-05-11,3.628179942901108
2021-05-12,3.6575990764282964
2021-05-13,3.641979478773233
2021-05-14,3.6887363861204663
2021-05-17,3.7023740056806154
2021-05-18,3.7149229294810096
2021-05-19,3.7057581033172267
2021-05-20,3.716355750674929
2021-05-21,3.7047994018677755
2021-05-24,3.7034065374706584
2021-05-25,3.791639586913037
2021-05-26,3.860040726090896
2021-05-27,3.86827458281927
2021-05-28,3.934278306528156
2021-05-31,3.9569873550765706
2021-06-01,3.9488866353737158
2021-06-02,3.8808807735391864
2021-06-03,3.946744765497807
2021-06-04,3.9577520038625154
2021-06-07,4.0217624870483935
2021-06-08,3.9453355087524598
2021-06-09,3.974215602976806
2021-06-10,4.022397911482638
2021-06-11,4.021038865326317
2021-06-15,3.9867872281227332
2021-06-16,4.025765203218764
2021-06-17,4.018253167432622
2021-06-18,4.058356045621021
2021-06-21,4.081335998853296
2021-06-22,4.110346810956444
2021-06-23,4.231868076010906
2021-06-24,4.232791012091579
2021-06-25,4.274504509485893
2021-06-28,4.309949843021857
2021-06-29,4.246180847557757
2021-06-30,4.25372169022196
2021-07-01,4.274311376432409
2021-07-02,4.281786628118348
2021-07-05,4.381430182793983
2021-07-06,4.38611491079422
2021-07-07,4.448833948131697
2021-07-08,4.493947751384052
2021-07-09,4.603342825917007
2021-07-12,4.75254822494973
2021-07-13,4.8300017909040704
2021-07-14,4.767168562386703
2021-07-15,4.915625368864598
2021-07-16,4.939694853821094
2021-07-19,4.962093284981515
2021-07-20,4.9464638281493025
2021-07-21,5.0770531974883735
2021-07-22,5.226751595420283
2021-07-23,5.315323268581374
2021-07-26,5.305047498500958
2021-07-27,5.276411723432673
2021-07-28,5.175310266213257
2021-07-29,5.328472233742145
2021-07-30,5.321405305946483
2021-08-02,5.468027531307483
2021-08-03,5.431252693230711
2021-08-04,5.438487146923668
2021-08-05,5.413264479350179
2021-08-06,5.36346244531408
2021-08-09,5.4747522485142275
2021-08-10,5.528824556225048
2021-08-11,5.584802932652548
2021-08-12,5.561503282101706
2021-08-13,5.624243597705526
2021-08-16,5.570734675285732
2021-08-17,5.552501802847289
2021-08-18,5.745968401072565
2021-08-19,5.811064395983097
2021-08-20,5.855484912779767
2021-08-23,6.011610671205054
2021-08-24,5.992742583272463
2021-08-25,6.104718361518324
2021-08-26,6.064417987760579
2021-08-27,6.096118437358088
2021-08-30,6.258035219698431
2021-08-31,6.576241196343568
2021-09-01,6.764500328208076
2021-09-02,7.029906275283059
2021-09-03,7.109140008112789
2021-09-06,7.241761167438153
2021-09-07,7.2488295368443945
2021-09-08,7.5817143531321465
2021-09-09,7.764855769289705
2021-09-10,7.597162842799871
2021-09-13,7.828921965858118
2021-09-14,7.71327316949722
2021-09-15,7.66696833539555
2021-09-16,7.611150609021455
2021-09-17,7.767929549198786
2021-09-22,8.173762788542144
2021-09-23,8.307216674104923
2021-09-24,8.056342936221611
2021-09-27,7.8529354048324755
2021-09-28,8.276310875905406
2021-09-29,8.2551926898363
2021-09-30,8.344513771567495
2021-10-08,8.154467409554545
2021-10-11,8.01378431339423
2021-10-12,7.988221882037549
2021-10-13,8.066479829041205
2021-10-14,8.10449568305876
2021-10-15,8.166415039189623
2021-10-18,8.035457399691554
2021-10-19,8.077302563529175
2021-10-20,8.064847482174367
2021-10-21,8.05994666633943
2021-10-22,8.10997667551942
2021-10-25,8.197769441976101
2021-10-26,8.143576601705846
2021-10-27,8.131627548566085
2021-10-28,8.12524411376122
2021-10-29,8.402898138360806
2021-11-01,8.582304331282973
2021-11-02,8.7630492865638
2021-11-03,8.803032519743516
2021-11-04,9.01253422784482
2021-11-05,8.956262941842663
2021-11-08,8.986448706012526
2021-11-09,9.084939229148292
2021-11-10,8.988560065018728
2021-11-11,9.099429320210865
2021-11-12,9.347440237636038
2021-11-15,9.238294448900227
2021-11-16,9.140585077300297
2021-11-17,9.21057677400819
2021-11-18,9.18215232250595
2021-11-19,9.296607108129754
2021-11-22,9.318235644085497
2021-11-23,9.382531438664905
2021-11-24,9.359833988305216
2021-11-25,9.480102914063194
